date zeny muzi
04/09/2020 0.025 0
07/09/2020 0.167 0.2
09/09/2020 0.020 0.292
10/09/2020 0.073 0.051
11/09/2020 0.082 0.138
15/09/2020 0.243 0.197
16/09/2020 0.156 0.054
17/09/2020 0.100 0.106
18/09/2020 0.051 0.121
21/09/2020 0.125 0.128
22/09/2020 0.119 0
23/09/2020 0.352 0.333
24/09/2020 0.419 0.312
25/09/2020 0.291 0.143
29/09/2020 0.242 0.255
30/09/2020 0.263 0.312
01/10/2020 0.083 0.05
02/10/2020 0.263 0.265
05/10/2020 0.333 0.41
06/10/2020 0.208 0.369
07/10/2020 0.348 0.434
08/10/2020 0.307 0.333
09/10/2020 0.337 0.333
12/10/2020 0.333 0.351
13/10/2020 0.436 0.373
14/10/2020 0.320 0.301
15/10/2020 0.343 0.448
16/10/2020 0.286 0.331
19/10/2020 0.359 0.43
20/10/2020 0.339 0.383
21/10/2020 0.417 0.423
22/10/2020 0.387 0.357
23/10/2020 0.263 0.25
26/10/2020 0.395 0.398
27/10/2020 0.469 0.262
28/10/2020 0.327 0.226
29/10/2020 0.453 0.33
30/10/2020 0.295 0.229
02/11/2020 0.297 0.288
03/11/2020 0.259 0.297
04/11/2020 0.380 0.398
05/11/2020 0.483 0.363
06/11/2020 0.438 0.342
09/11/2020 0.330 0.323
10/11/2020 0.396 0.365
11/11/2020 0.322 0.278
12/11/2020 0.344 0.329
13/11/2020 0.357 0.349
16/11/2020 0.366 0.4
18/11/2020 0.398 0.349
19/11/2020 0.595 0.415
20/11/2020 0.418 0.346
23/11/2020 0.338 0.333
24/11/2020 0.348 0.255
25/11/2020 0.150 0.226
26/11/2020 0.260 0.179
27/11/2020 0.255 0.234
30/11/2020 0.123 0.18
01/12/2020 0.421 0.444
02/12/2020 0.286 0.278
03/12/2020 0.400 0.379
04/12/2020 0.262 0.25
07/12/2020 0.393 0.28
08/12/2020 0.310 0.263
09/12/2020 0.289 0.282
10/12/2020 0.375 0.412
11/12/2020 0.288 0.327
14/12/2020 0.347 0.18
15/12/2020 0.425 0.381
16/12/2020 0.467 0.471
17/12/2020 0.410 0.351
18/12/2020 0.369 0.298
21/12/2020 0.364 0.302
22/12/2020 0.456 0.348
23/12/2020 0.516 0.5
28/12/2020 0.367 0.275
29/12/2020 0.333 0.275
 
